system,case,gt_service,gt_fault,failure_type,failure_reason,ac_at_1,ac_at_3,path_accuracy,top1_service,top1_confidence,top3_services,verifier_verdict,log_evidence_count,topology_evidence_count,rca_evidence_count,has_log_evidence,has_topology_evidence,predicted_path,predicted_path_length,gt_path_length,elapsed_seconds,agent_errors
ours,checkoutservice_socket_2,checkoutservice,socket,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,36.33,[]
ours,checkoutservice_socket_3,checkoutservice,socket,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,32.29,[]
ours,currencyservice_cpu_1,currencyservice,cpu,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.6,"[""redis"", ""cartservice"", ""frontend""]",revised,0,0,0,True,True,"[""redis"", ""cartservice"", ""frontend""]",3,0,39.3,[]
ours,currencyservice_cpu_2,currencyservice,cpu,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.03,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,31.44,[]
ours,currencyservice_cpu_3,currencyservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.6,"[""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,38.02,[]
ours,currencyservice_delay_1,currencyservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,checkoutservice,0.6,"[""checkoutservice""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,32.11,[]
ours,currencyservice_delay_2,currencyservice,delay,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.72,"[""currencyservice""]",rejected,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,24.93,[]
ours,currencyservice_delay_3,currencyservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.6,"[""frontend""]",revised,0,0,0,True,True,"[""frontend""]",1,0,27.73,[]
ours,currencyservice_disk_1,currencyservice,disk,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.6,"[""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,30.77,[]
ours,currencyservice_disk_2,currencyservice,disk,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.28,"[""currencyservice""]",weak-evidence,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,29.23,[]
ours,currencyservice_disk_3,currencyservice,disk,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.6,"[""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,26.31,[]
ours,currencyservice_loss_1,currencyservice,loss,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.6,"[""currencyservice"", ""frontend""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,26.72,[]
ours,currencyservice_loss_2,currencyservice,loss,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.6,"[""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,27.35,[]
ours,currencyservice_loss_3,currencyservice,loss,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.6,"[""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,30.71,[]
ours,currencyservice_mem_1,currencyservice,mem,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.6,"[""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,23.31,[]
ours,currencyservice_mem_2,currencyservice,mem,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.6,"[""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,28.11,[]
ours,currencyservice_mem_3,currencyservice,mem,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.6,"[""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,21.98,[]
ours,currencyservice_socket_1,currencyservice,socket,CANDIDATE,GT not present among top-3 candidates,False,False,,cartservice,0.6,"[""cartservice""]",revised,0,0,0,True,True,"[""cartservice"", ""frontend""]",2,0,29.78,[]
ours,currencyservice_socket_2,currencyservice,socket,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.6,"[""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,30.21,[]
ours,currencyservice_socket_3,currencyservice,socket,CORRECT,Top-1 matches ground truth,True,True,,frontend,0.6,"[""frontend""]",revised,0,0,0,True,True,"[""frontend""]",1,0,26.83,[]
ours,emailservice_cpu_1,emailservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.6,"[""emailservice""]",revised,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,24.49,[]
ours,emailservice_cpu_2,emailservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.6,"[""emailservice""]",revised,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,23.0,[]
ours,emailservice_cpu_3,emailservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.6,"[""emailservice""]",revised,0,0,0,True,True,"[""emailservice"", ""frontend""]",2,0,23.49,[]
ours,emailservice_delay_1,emailservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.43,"[""frontend"", ""adservice""]",weak-evidence,0,0,0,True,True,"[""adservice"", ""frontend""]",2,0,27.85,[]
ours,emailservice_delay_2,emailservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,productcatalogservice,0.6,"[""productcatalogservice""]",rejected,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,26.04,[]
ours,emailservice_delay_3,emailservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,checkoutservice,0.6,"[""checkoutservice"", ""frontend""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,28.53,[]
ours,emailservice_disk_1,emailservice,disk,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.6,"[""emailservice""]",revised,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,21.64,[]
ours,emailservice_disk_2,emailservice,disk,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.6,"[""emailservice""]",revised,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,23.67,[]
ours,emailservice_disk_3,emailservice,disk,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.6,"[""emailservice"", ""frontend""]",revised,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,26.05,[]
ours,emailservice_loss_1,emailservice,loss,CANDIDATE,GT not present among top-3 candidates,False,False,,checkoutservice,0.6,"[""checkoutservice""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,24.43,[]
ours,emailservice_loss_2,emailservice,loss,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.6,"[""redis"", ""frontend""]",revised,0,0,0,True,True,"[""redis"", ""productcatalogservice"", ""frontend""]",3,0,28.1,[]
ours,emailservice_loss_3,emailservice,loss,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.6,"[""emailservice"", ""checkoutservice"", ""frontend""]",revised,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,28.38,[]
ours,emailservice_mem_1,emailservice,mem,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.6,"[""emailservice"", ""frontend""]",revised,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,28.42,[]
ours,emailservice_mem_2,emailservice,mem,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.6,"[""emailservice"", ""frontend""]",revised,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,24.18,[]
ours,emailservice_mem_3,emailservice,mem,CANDIDATE,GT not present among top-3 candidates,False,False,,currencyservice,0.4,"[""currencyservice"", ""frontend""]",weak-evidence,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,25.23,[]
ours,emailservice_socket_1,emailservice,socket,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.6,"[""emailservice"", ""checkoutservice"", ""frontend""]",revised,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,25.15,[]
ours,emailservice_socket_2,emailservice,socket,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.6,"[""emailservice""]",revised,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,21.72,[]
ours,emailservice_socket_3,emailservice,socket,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.6,"[""emailservice""]",revised,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,25.15,[]
ours,productcatalogservice_cpu_1,productcatalogservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.6,"[""productcatalogservice"", ""frontend""]",revised,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,25.06,[]
ours,productcatalogservice_cpu_2,productcatalogservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.6,"[""productcatalogservice"", ""frontend""]",revised,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,24.32,[]
ours,productcatalogservice_cpu_3,productcatalogservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.6,"[""productcatalogservice"", ""frontend""]",revised,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,28.84,[]
ours,productcatalogservice_delay_1,productcatalogservice,delay,CORRECT,Top-1 matches ground truth,True,True,,frontend,0.48,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,22.87,[]
ours,productcatalogservice_delay_2,productcatalogservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.48,"[""frontend"", ""currencyservice""]",weak-evidence,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,26.62,[]
ours,productcatalogservice_delay_3,productcatalogservice,delay,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.86,"[""productcatalogservice""]",rejected,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,21.62,[]
ours,productcatalogservice_disk_1,productcatalogservice,disk,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.6,"[""productcatalogservice""]",revised,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,34.64,[]
ours,productcatalogservice_disk_2,productcatalogservice,disk,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.6,"[""productcatalogservice"", ""frontend""]",revised,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,22.93,[]
ours,productcatalogservice_disk_3,productcatalogservice,disk,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.6,"[""productcatalogservice""]",revised,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,21.0,[]
ours,productcatalogservice_loss_1,productcatalogservice,loss,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.6,"[""frontend""]",revised,0,0,0,True,True,"[""frontend""]",1,0,26.16,[]
ours,productcatalogservice_loss_2,productcatalogservice,loss,CANDIDATE,GT not present among top-3 candidates,False,False,,adservice,0.6,"[""adservice""]",revised,0,0,0,True,True,"[""adservice"", ""frontend""]",2,0,28.77,[]
ours,productcatalogservice_loss_3,productcatalogservice,loss,CANDIDATE,GT not present among top-3 candidates,False,False,,recommendationservice,0.6,"[""recommendationservice"", ""frontend""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,31.84,[]
ours,productcatalogservice_mem_1,productcatalogservice,mem,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.6,"[""productcatalogservice""]",revised,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,20.93,[]
ours,productcatalogservice_mem_2,productcatalogservice,mem,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.6,"[""productcatalogservice"", ""frontend""]",revised,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,23.34,[]
ours,productcatalogservice_mem_3,productcatalogservice,mem,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.6,"[""productcatalogservice"", ""frontend""]",revised,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,27.31,[]
ours,productcatalogservice_socket_1,productcatalogservice,socket,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.6,"[""productcatalogservice""]",revised,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,19.82,[]
ours,productcatalogservice_socket_2,productcatalogservice,socket,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.6,"[""productcatalogservice""]",revised,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,24.51,[]
ours,productcatalogservice_socket_3,productcatalogservice,socket,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.6,"[""productcatalogservice""]",revised,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,23.18,[]
ours,recommendationservice_cpu_1,recommendationservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.6,"[""recommendationservice""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,23.03,[]
ours,recommendationservice_cpu_2,recommendationservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.6,"[""recommendationservice"", ""frontend""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,28.16,[]
ours,recommendationservice_cpu_3,recommendationservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.6,"[""recommendationservice""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,21.05,[]
ours,recommendationservice_delay_1,recommendationservice,delay,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.6,"[""recommendationservice""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,19.61,[]
ours,recommendationservice_delay_2,recommendationservice,delay,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.6,"[""recommendationservice""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,22.69,[]
ours,recommendationservice_delay_3,recommendationservice,delay,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.6,"[""recommendationservice""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,23.01,[]
ours,recommendationservice_disk_1,recommendationservice,disk,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.6,"[""recommendationservice"", ""frontend""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,29.49,[]
ours,recommendationservice_disk_2,recommendationservice,disk,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.6,"[""recommendationservice""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,26.71,[]
ours,recommendationservice_disk_3,recommendationservice,disk,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.6,"[""recommendationservice""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,25.18,[]
ours,recommendationservice_loss_1,recommendationservice,loss,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.6,"[""checkoutservice""]",revised,0,0,0,True,True,"[""checkoutservice"", ""recommendationservice"", ""frontend""]",3,0,30.27,[]
ours,recommendationservice_loss_2,recommendationservice,loss,CANDIDATE,GT not present among top-3 candidates,False,False,,cartservice,0.6,"[""cartservice""]",revised,0,0,0,True,True,"[""cartservice"", ""frontend""]",2,0,25.96,[]
ours,recommendationservice_loss_3,recommendationservice,loss,CANDIDATE,GT not present among top-3 candidates,False,False,,adservice,0.6,"[""adservice"", ""frontend""]",revised,0,0,0,True,True,"[""adservice"", ""frontend""]",2,0,29.6,[]
ours,recommendationservice_mem_1,recommendationservice,mem,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.6,"[""recommendationservice"", ""frontend""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,20.86,[]
ours,recommendationservice_mem_2,recommendationservice,mem,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.6,"[""recommendationservice""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,25.21,[]
ours,recommendationservice_mem_3,recommendationservice,mem,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.6,"[""recommendationservice""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,22.85,[]
ours,recommendationservice_socket_1,recommendationservice,socket,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.6,"[""recommendationservice""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,21.75,[]
ours,recommendationservice_socket_2,recommendationservice,socket,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.6,"[""recommendationservice""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,22.01,[]
ours,recommendationservice_socket_3,recommendationservice,socket,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.6,"[""recommendationservice""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,23.71,[]
