system,case,gt_service,gt_fault,failure_type,failure_reason,ac_at_1,ac_at_3,path_accuracy,top1_service,top1_confidence,top3_services,verifier_verdict,log_evidence_count,topology_evidence_count,rca_evidence_count,has_log_evidence,has_topology_evidence,predicted_path,predicted_path_length,gt_path_length,elapsed_seconds,agent_errors
ours,checkoutservice_loss_2,checkoutservice,loss,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.23,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,43.89,[]
ours,checkoutservice_loss_3,checkoutservice,loss,CANDIDATE,GT not present among top-3 candidates,False,False,,currencyservice,0.5,"[""currencyservice""]",weak-evidence,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,45.19,[]
ours,checkoutservice_mem_1,checkoutservice,mem,CANDIDATE,GT not present among top-3 candidates,False,False,,cartservice,0.5,"[""cartservice""]",weak-evidence,0,0,0,True,True,"[""cartservice"", ""frontend""]",2,0,42.48,[]
ours,checkoutservice_mem_2,checkoutservice,mem,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.8,"[""checkoutservice"", ""frontend""]",accepted,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,36.96,[]
ours,checkoutservice_mem_3,checkoutservice,mem,RANKING,GT found in Top-3 but not Top-1,False,True,,currencyservice,0.4,"[""currencyservice"", ""checkoutservice""]",weak-evidence,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,51.02,[]
ours,checkoutservice_socket_1,checkoutservice,socket,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.5,"[""checkoutservice"", ""frontend""]",weak-evidence,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,49.51,[]
ours,checkoutservice_socket_2,checkoutservice,socket,CORRECT,Top-1 matches ground truth,True,True,,checkoutservice,0.9,"[""checkoutservice""]",accepted,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,48.31,[]
ours,checkoutservice_socket_3,checkoutservice,socket,RANKING,GT found in Top-3 but not Top-1,False,True,,paymentservice,0.76,"[""paymentservice"", ""checkoutservice""]",revised,0,0,0,True,True,"[""paymentservice"", ""checkoutservice"", ""frontend""]",3,0,47.25,[]
ours,currencyservice_cpu_1,currencyservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.68,"[""currencyservice"", ""frontend""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,46.9,[]
ours,currencyservice_cpu_2,currencyservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.83,"[""currencyservice""]",accepted,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,42.09,[]
ours,currencyservice_cpu_3,currencyservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.73,"[""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,41.67,[]
ours,currencyservice_delay_1,currencyservice,delay,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.57,"[""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,44.44,[]
ours,currencyservice_delay_2,currencyservice,delay,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.8,"[""currencyservice""]",accepted,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,43.59,[]
ours,currencyservice_delay_3,currencyservice,delay,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.58,"[""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,41.75,[]
ours,currencyservice_disk_1,currencyservice,disk,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.58,"[""currencyservice"", ""frontend""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,49.81,[]
ours,currencyservice_disk_2,currencyservice,disk,RANKING,GT found in Top-3 but not Top-1,False,True,,adservice,0.4,"[""adservice"", ""currencyservice"", ""frontend""]",weak-evidence,0,0,0,True,True,"[""adservice"", ""frontend""]",2,0,52.63,[]
ours,currencyservice_disk_3,currencyservice,disk,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.68,"[""currencyservice"", ""frontend""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,42.26,[]
ours,currencyservice_loss_1,currencyservice,loss,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.31,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,52.31,[]
ours,currencyservice_loss_2,currencyservice,loss,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.78,"[""currencyservice"", ""currency_upstream_data_source"", ""frontend""]",revised,0,0,0,True,True,"[""currency_upstream_data_source"", ""currencyservice"", ""frontend""]",3,0,40.73,[]
ours,currencyservice_loss_3,currencyservice,loss,RANKING,GT found in Top-3 but not Top-1,False,True,,api-gateway,0.68,"[""api-gateway"", ""currencyservice""]",revised,0,0,0,True,True,"[""api-gateway"", ""frontend""]",2,0,48.65,[]
ours,currencyservice_mem_1,currencyservice,mem,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.68,"[""currencyservice"", ""frontend""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,36.63,[]
ours,currencyservice_mem_2,currencyservice,mem,CANDIDATE,GT not present among top-3 candidates,False,False,,adservice,0.73,"[""adservice"", ""frontend""]",revised,0,0,0,True,True,"[""adservice"", ""frontend""]",2,0,47.26,[]
ours,currencyservice_mem_3,currencyservice,mem,CANDIDATE,GT not present among top-3 candidates,False,False,,adservice,0.73,"[""adservice"", ""frontend""]",revised,0,0,0,True,True,"[""adservice"", ""frontend""]",2,0,48.84,[]
ours,currencyservice_socket_1,currencyservice,socket,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.28,"[""currencyservice""]",weak-evidence,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,45.66,[]
ours,currencyservice_socket_2,currencyservice,socket,CORRECT,Top-1 matches ground truth,True,True,,frontend,0.28,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,44.76,[]
ours,currencyservice_socket_3,currencyservice,socket,CORRECT,Top-1 matches ground truth,True,True,,currencyservice,0.8,"[""currencyservice"", ""frontend""]",accepted,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,48.37,[]
ours,emailservice_cpu_1,emailservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.7,"[""emailservice"", ""frontend""]",revised,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,51.56,[]
ours,emailservice_cpu_2,emailservice,cpu,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.28,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,64.3,[]
ours,emailservice_cpu_3,emailservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.53,"[""emailservice"", ""frontend""]",weak-evidence,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,53.03,[]
ours,emailservice_delay_1,emailservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.03,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,55.89,[]
ours,emailservice_delay_2,emailservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,checkoutservice,0.58,"[""checkoutservice"", ""frontend""]",revised,0,0,0,True,True,"[""checkoutservice"", ""frontend""]",2,0,52.22,[]
ours,emailservice_delay_3,emailservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.28,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,50.04,[]
ours,emailservice_disk_1,emailservice,disk,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.93,"[""emailservice""]",accepted,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,56.68,[]
ours,emailservice_disk_2,emailservice,disk,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.45,"[""emailservice"", ""frontend""]",weak-evidence,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,47.3,[]
ours,emailservice_disk_3,emailservice,disk,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.43,"[""frontend"", ""currencyservice""]",weak-evidence,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,47.72,[]
ours,emailservice_loss_1,emailservice,loss,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.8,"[""emailservice"", ""checkoutservice"", ""frontend""]",accepted,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,52.5,[]
ours,emailservice_loss_2,emailservice,loss,CORRECT,Top-1 matches ground truth,True,True,,external_mail_service,0.8,"[""external_mail_service"", ""checkoutservice"", ""emailservice""]",accepted,0,0,0,True,True,"[""external_mail_service"", ""checkoutservice"", ""emailservice""]",3,0,57.03,[]
ours,emailservice_loss_3,emailservice,loss,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.8,"[""emailservice"", ""checkoutservice""]",accepted,0,0,0,True,True,"[""emailservice"", ""checkoutservice"", ""frontend""]",3,0,47.07,[]
ours,emailservice_mem_1,emailservice,mem,CANDIDATE,GT not present among top-3 candidates,False,False,,currencyservice,0.6,"[""currencyservice""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,43.19,[]
ours,emailservice_mem_2,emailservice,mem,CORRECT,Top-1 matches ground truth,True,True,,emailservice,0.65,"[""emailservice"", ""recommendationservice"", ""frontend""]",revised,0,0,0,True,True,"[""emailservice"", ""frontend""]",2,0,51.67,[]
ours,emailservice_mem_3,emailservice,mem,CANDIDATE,GT not present among top-3 candidates,False,False,,currencyservice,0.38,"[""currencyservice"", ""frontend""]",weak-evidence,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,49.08,[]
ours,emailservice_socket_1,emailservice,socket,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.03,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,43.62,[]
ours,emailservice_socket_2,emailservice,socket,CANDIDATE,GT not present among top-3 candidates,False,False,,currencyservice,0.57,"[""currencyservice"", ""frontend""]",revised,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,45.56,[]
ours,emailservice_socket_3,emailservice,socket,CANDIDATE,GT not present among top-3 candidates,False,False,,currencyservice,0.4,"[""currencyservice""]",weak-evidence,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,42.55,[]
ours,productcatalogservice_cpu_1,productcatalogservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.8,"[""productcatalogservice"", ""frontend""]",accepted,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,41.08,[]
ours,productcatalogservice_cpu_2,productcatalogservice,cpu,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.27,"[""frontend"", ""currencyservice""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,43.8,[]
ours,productcatalogservice_cpu_3,productcatalogservice,cpu,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.43,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,41.55,[]
ours,productcatalogservice_delay_1,productcatalogservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.73,"[""frontend"", ""currencyservice""]",revised,0,0,0,True,True,"[""frontend""]",1,0,43.52,[]
ours,productcatalogservice_delay_2,productcatalogservice,delay,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.8,"[""productcatalogservice""]",accepted,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,41.12,[]
ours,productcatalogservice_delay_3,productcatalogservice,delay,CORRECT,Top-1 matches ground truth,True,True,,catalog-service,0.86,"[""catalog-service"", ""frontend""]",accepted,0,0,0,True,True,"[""catalog-service"", ""productcatalogservice"", ""frontend""]",3,0,39.66,[]
ours,productcatalogservice_disk_1,productcatalogservice,disk,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.8,"[""productcatalogservice""]",accepted,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,42.1,[]
ours,productcatalogservice_disk_2,productcatalogservice,disk,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.73,"[""productcatalogservice"", ""frontend""]",revised,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,42.97,[]
ours,productcatalogservice_disk_3,productcatalogservice,disk,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.76,"[""productcatalogservice"", ""frontend""]",revised,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,44.94,[]
ours,productcatalogservice_loss_1,productcatalogservice,loss,CANDIDATE,GT not present among top-3 candidates,False,False,,recommendationservice,0.76,"[""recommendationservice""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,47.27,[]
ours,productcatalogservice_loss_2,productcatalogservice,loss,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.74,"[""productcatalogservice""]",revised,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,38.92,[]
ours,productcatalogservice_loss_3,productcatalogservice,loss,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.86,"[""productcatalogservice"", ""frontend""]",accepted,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,39.27,[]
ours,productcatalogservice_mem_1,productcatalogservice,mem,OVERCONFIDENT,Wrong top-1 'adservice' accepted with conf=0.86,False,False,,adservice,0.86,"[""adservice""]",accepted,0,0,0,True,True,"[""adservice"", ""frontend""]",2,0,36.52,[]
ours,productcatalogservice_mem_2,productcatalogservice,mem,OVERCONFIDENT,Wrong top-1 'frontend' accepted with conf=0.78,False,False,,frontend,0.78,"[""frontend""]",accepted,0,0,0,True,True,"[""frontend""]",1,0,36.38,[]
ours,productcatalogservice_mem_3,productcatalogservice,mem,CANDIDATE,GT not present among top-3 candidates,False,False,,adservice,0.73,"[""adservice"", ""frontend""]",revised,0,0,0,True,True,"[""adservice"", ""frontend""]",2,0,38.86,[]
ours,productcatalogservice_socket_1,productcatalogservice,socket,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.78,"[""productcatalogservice"", ""frontend""]",revised,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,43.97,[]
ours,productcatalogservice_socket_2,productcatalogservice,socket,CORRECT,Top-1 matches ground truth,True,True,,catalogservice,0.78,"[""catalogservice"", ""frontend""]",revised,0,0,0,True,True,"[""catalogservice"", ""frontend""]",2,0,47.0,[]
ours,productcatalogservice_socket_3,productcatalogservice,socket,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.73,"[""frontend""]",revised,0,0,0,True,True,"[""frontend""]",1,0,41.33,[]
ours,recommendationservice_cpu_1,recommendationservice,cpu,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.48,"[""recommendationservice"", ""frontend""]",weak-evidence,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,39.42,[]
ours,recommendationservice_cpu_2,recommendationservice,cpu,CANDIDATE,GT not present among top-3 candidates,False,False,,cartservice,0.35,"[""cartservice"", ""frontend""]",weak-evidence,0,0,0,True,True,"[""cartservice"", ""frontend""]",2,0,37.82,[]
ours,recommendationservice_cpu_3,recommendationservice,cpu,CANDIDATE,GT not present among top-3 candidates,False,False,,shippingservice,0.68,"[""shippingservice"", ""frontend""]",revised,0,0,0,True,True,"[""shippingservice"", ""frontend""]",2,0,40.88,[]
ours,recommendationservice_delay_1,recommendationservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.15,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,39.09,[]
ours,recommendationservice_delay_2,recommendationservice,delay,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.47,"[""recommendationservice""]",weak-evidence,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,43.59,[]
ours,recommendationservice_delay_3,recommendationservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,currencyservice,0.4,"[""currencyservice""]",weak-evidence,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,41.01,[]
ours,recommendationservice_disk_1,recommendationservice,disk,CANDIDATE,GT not present among top-3 candidates,False,False,,currencyservice,0.53,"[""currencyservice"", ""frontend""]",weak-evidence,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,41.55,[]
ours,recommendationservice_disk_2,recommendationservice,disk,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.73,"[""recommendationservice"", ""frontend""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,38.04,[]
ours,recommendationservice_disk_3,recommendationservice,disk,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.43,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,38.83,[]
ours,recommendationservice_loss_1,recommendationservice,loss,OVERCONFIDENT,Wrong top-1 'productcatalogservice' accepted with conf=0.80,False,False,,productcatalogservice,0.8,"[""productcatalogservice"", ""frontend""]",accepted,0,0,0,True,True,"[""productcatalogservice"", ""recommendationservice"", ""frontend""]",3,0,38.74,[]
ours,recommendationservice_loss_2,recommendationservice,loss,CANDIDATE,GT not present among top-3 candidates,False,False,,productcatalogservice,0.68,"[""productcatalogservice"", ""frontend"", ""productcatalogservice""]",revised,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,42.31,[]
ours,recommendationservice_loss_3,recommendationservice,loss,OVERCONFIDENT,Wrong top-1 'productcatalogservice' accepted with conf=0.83,False,False,,productcatalogservice,0.83,"[""productcatalogservice"", ""frontend""]",accepted,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,41.18,[]
ours,recommendationservice_mem_1,recommendationservice,mem,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.93,"[""recommendationservice""]",accepted,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,36.14,[]
ours,recommendationservice_mem_2,recommendationservice,mem,RANKING,GT found in Top-3 but not Top-1,False,True,,currencyservice,0.52,"[""currencyservice"", ""recommendationservice"", ""frontend""]",weak-evidence,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,42.35,[]
ours,recommendationservice_mem_3,recommendationservice,mem,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.8,"[""recommendationservice"", ""currencyservice""]",accepted,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,44.6,[]
ours,recommendationservice_socket_1,recommendationservice,socket,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.68,"[""recommendationservice"", ""frontend""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,34.68,[]
ours,recommendationservice_socket_2,recommendationservice,socket,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.73,"[""recommendationservice""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,42.78,[]
ours,recommendationservice_socket_3,recommendationservice,socket,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.63,"[""recommendationservice"", ""frontend""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,40.46,[]
