system,case,gt_service,gt_fault,failure_type,failure_reason,ac_at_1,ac_at_3,path_accuracy,top1_service,top1_confidence,top3_services,verifier_verdict,log_evidence_count,topology_evidence_count,rca_evidence_count,has_log_evidence,has_topology_evidence,predicted_path,predicted_path_length,gt_path_length,elapsed_seconds,agent_errors
ours,productcatalogservice_loss_2,productcatalogservice,loss,CORRECT,Top-1 matches ground truth,True,True,,redis,0.65,"[""redis"", ""productcatalogservice"", ""frontend""]",revised,0,0,0,True,True,"[""redis"", ""productcatalogservice"", ""frontend""]",3,0,48.2,[]
ours,productcatalogservice_loss_3,productcatalogservice,loss,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.78,"[""redis"", ""frontend""]",revised,0,0,0,True,True,"[""redis"", ""productcatalogservice"", ""frontend""]",3,0,55.44,[]
ours,productcatalogservice_mem_1,productcatalogservice,mem,CORRECT,Top-1 matches ground truth,True,True,,productcatalogservice,0.86,"[""productcatalogservice""]",accepted,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,53.77,[]
ours,productcatalogservice_mem_2,productcatalogservice,mem,CORRECT,Top-1 matches ground truth,True,True,,redis,0.78,"[""redis"", ""frontend""]",revised,0,0,0,True,True,"[""redis"", ""productcatalogservice"", ""frontend""]",3,0,57.97,[]
ours,productcatalogservice_mem_3,productcatalogservice,mem,CANDIDATE,GT not present among top-3 candidates,False,False,,adservice,0.7,"[""adservice""]",revised,0,0,0,True,True,"[""adservice"", ""frontend""]",2,0,50.06,[]
ours,productcatalogservice_socket_1,productcatalogservice,socket,CORRECT,Top-1 matches ground truth,True,True,,catalog-service,0.73,"[""catalog-service""]",revised,0,0,0,True,True,"[""catalog-service"", ""frontend""]",2,0,54.94,[]
ours,productcatalogservice_socket_2,productcatalogservice,socket,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.73,"[""redis"", ""frontend""]",revised,0,0,0,True,True,"[""redis"", ""productcatalogservice"", ""frontend""]",3,0,59.05,[]
ours,productcatalogservice_socket_3,productcatalogservice,socket,OVERCONFIDENT,Wrong top-1 'redis' accepted with conf=0.90,False,False,,redis,0.9,"[""redis"", ""frontend""]",accepted,0,0,0,True,True,"[""redis"", ""productcatalogservice"", ""frontend""]",3,0,56.75,[]
ours,recommendationservice_cpu_1,recommendationservice,cpu,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.28,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,55.67,[]
ours,recommendationservice_cpu_2,recommendationservice,cpu,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.03,"[""frontend""]",weak-evidence,0,0,0,True,True,"[""frontend""]",1,0,59.48,[]
ours,recommendationservice_cpu_3,recommendationservice,cpu,CANDIDATE,GT not present among top-3 candidates,False,False,,frontend,0.42,"[""frontend"", ""currencyservice""]",weak-evidence,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,59.36,[]
ours,recommendationservice_delay_1,recommendationservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.73,"[""redis""]",revised,0,0,0,True,True,"[""redis"", ""cartservice"", ""frontend""]",3,0,47.04,[]
ours,recommendationservice_delay_2,recommendationservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.63,"[""redis"", ""frontend""]",revised,0,0,0,True,True,"[""redis"", ""frontend""]",2,0,51.9,[]
ours,recommendationservice_delay_3,recommendationservice,delay,CANDIDATE,GT not present among top-3 candidates,False,False,,currencyservice,0.4,"[""currencyservice"", ""frontend""]",weak-evidence,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,51.21,[]
ours,recommendationservice_disk_1,recommendationservice,disk,OVERCONFIDENT,Wrong top-1 'redis' accepted with conf=0.80,False,False,,redis,0.8,"[""redis""]",accepted,0,0,0,True,True,"[""redis"", ""recommendationservice"", ""frontend""]",3,0,47.59,[]
ours,recommendationservice_disk_2,recommendationservice,disk,CANDIDATE,GT not present among top-3 candidates,False,False,,currencyservice,0.4,"[""currencyservice"", ""frontend""]",weak-evidence,0,0,0,True,True,"[""currencyservice"", ""frontend""]",2,0,55.09,[]
ours,recommendationservice_disk_3,recommendationservice,disk,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.73,"[""redis"", ""frontend""]",revised,0,0,0,True,True,"[""redis"", ""frontend""]",2,0,66.56,[]
ours,recommendationservice_loss_1,recommendationservice,loss,OVERCONFIDENT,Wrong top-1 'productcatalogservice' accepted with conf=0.80,False,False,,productcatalogservice,0.8,"[""productcatalogservice"", ""frontend""]",accepted,0,0,0,True,True,"[""productcatalogservice"", ""frontend""]",2,0,49.0,[]
ours,recommendationservice_loss_2,recommendationservice,loss,RANKING,GT found in Top-3 but not Top-1,False,True,,redis,0.45,"[""redis"", ""frontend"", ""recommendationservice""]",weak-evidence,0,0,0,True,True,"[""redis"", ""recommendationservice"", ""frontend""]",3,0,58.49,[]
ours,recommendationservice_loss_3,recommendationservice,loss,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.74,"[""redis""]",revised,0,0,0,True,True,"[""redis"", ""recommendationservice"", ""frontend""]",3,0,52.59,[]
ours,recommendationservice_mem_1,recommendationservice,mem,OVERCONFIDENT,Wrong top-1 'redis' accepted with conf=0.86,False,False,,redis,0.86,"[""redis""]",accepted,0,0,0,True,True,"[""redis"", ""recommendationservice"", ""frontend""]",3,0,58.05,[]
ours,recommendationservice_mem_2,recommendationservice,mem,RANKING,GT found in Top-3 but not Top-1,False,True,,redis,0.58,"[""redis"", ""recommendationservice""]",revised,0,0,0,True,True,"[""redis"", ""recommendationservice"", ""frontend""]",3,0,59.51,[]
ours,recommendationservice_mem_3,recommendationservice,mem,CORRECT,Top-1 matches ground truth,True,True,,redis,0.73,"[""redis"", ""frontend""]",revised,0,0,0,True,True,"[""redis"", ""productcatalogservice"", ""frontend""]",3,0,60.28,[]
ours,recommendationservice_socket_1,recommendationservice,socket,OVERCONFIDENT,Wrong top-1 'redis' accepted with conf=0.80,False,False,,redis,0.8,"[""redis""]",accepted,0,0,0,True,True,"[""redis"", ""recommendationservice"", ""frontend""]",3,0,49.52,[]
ours,recommendationservice_socket_2,recommendationservice,socket,CORRECT,Top-1 matches ground truth,True,True,,recommendationservice,0.78,"[""recommendationservice"", ""frontend""]",revised,0,0,0,True,True,"[""recommendationservice"", ""frontend""]",2,0,53.84,[]
ours,recommendationservice_socket_3,recommendationservice,socket,CANDIDATE,GT not present among top-3 candidates,False,False,,redis,0.63,"[""redis""]",revised,0,0,0,True,True,"[""redis"", ""cartservice"", ""frontend""]",3,0,59.47,[]
